Run_date,File_name,status,dirs_total,dirs_copied,dirs_skipped,dirs_mismatched,dirs_failed,dirs_extras,files_total,files_copied,files_skipped,files_mismatched,files_failed,files_extras,bytes_total,bytes_copied,bytes_skipped,bytes_mismatched,bytes_failed,bytes_extras,
20180327,bak2rda_past_projects.20171002_184123.log,success,9,0,0,0,0,0,408,0,408,0,0,0,28.62MB,0,28.62MB,0,0,0,
20180327,bak2rda_leadership.20171002_184123.log,success,56,0,0,0,0,13,368,0,368,0,0,8,46.49MB,0,46.49MB,0,0,8.54MB,
20180327,bak2bak_filecopy.20171002.log,success,151408,29,0,0,0,387,1125844,1135,1124709,0,0,12445,1.439,t,390.14MB,1.438,t,0,
20180327,ds2bk_filecopy.20171002.log,success,60948,29,0,0,0,2219,581448,1175,580273,0,0,10664,592.958GB,392.19MB,592.575GB,0,0,10.375GB,
20180327,rda_shared2shared_filecopy.20171002.log,success,44616,29,0,0,0,344,395536,1135,394401,0,0,3123,400.340GB,390.14MB,399.959GB,0,0,18.297GB,
20180327,rda_monthly_billable_hours.20171002.log,success,154,0,0,0,0,0,1906,0,1906,0,0,0,1.443GB,0,1.443GB,0,0,0,
20180327,rda_management.20171002.log,success,397,0,0,0,0,4,2899,0,2899,0,0,35,1.234GB,0,1.234GB,0,0,2.37MB,
20180327,rda_finance.20171002.log,success,59,0,0,0,0,0,375,0,375,0,0,0,3.011GB,0,3.011GB,0,0,0,
20180327,rda_it.20171002.log,success,5,0,0,0,0,0,3,0,3,0,0,0,32.5,k,0,32.5,k,0,
20180327,rda_docs.20171002.log,success,1377,0,0,0,0,0,13898,0,13898,0,0,0,18.622GB,0,18.622GB,0,0,0,
20180327,rda_data.20171002.log,success,2856,0,0,0,0,0,62104,0,62104,0,0,0,99.436GB,0,99.436GB,0,0,0,
20180327,rda_admin.20171002.log,success,1071,0,0,0,0,0,3129,0,3129,0,0,0,1.108GB,0,1.108GB,0,0,0,
20180327,public.20171002.log,success,192,0,0,0,0,2,776,0,776,0,0,32,2.814GB,0,2.814GB,0,0,2.699GB,
20180327,measurey.20171002.log,success,443,0,0,0,0,0,5389,0,5389,0,0,0,17.276GB,0,17.276GB,0,0,0,
20180327,oshpd.20171002.log,failure
20180327,sccre.20171002.log,failure
20180327,_surveys.20171002.log,success,82,0,0,0,0,0,218,0,218,0,0,0,30.84MB,0,30.84MB,0,0,0,
20180327,archive.20171002.log,success,5,0,0,0,0,0,1,0,1,0,0,0,74,0,74,0,0,0,
20180327,archivesecured.20171002.log,success,2,0,0,0,0,0,1,0,1,0,0,0,74,0,74,0,0,0,
20180327,ds2bk_filecopy.20180322_165515.log,success,73487,346,0,0,0,2220,760445,4301,756144,0,0,10641,730.956GB,963.09MB,730.015GB,0,0,21.766GB,
20180327,rda_shared2shared_filecopy.20180322_165515.log,success,43342,346,0,0,0,2265,343612,4258,339354,0,0,62731,295.776GB,960.99MB,294.838GB,0,0,39.142GB,
20180327,rda_monthly_billable_hours.20180322_165515.log,success,154,0,0,0,0,0,1906,0,1906,0,0,0,1.443GB,0,1.443GB,0,0,0,
20180327,rda_management.20180322_165515.log,success,372,0,0,0,0,36,2549,0,2549,0,0,329,1.234GB,0,1.234GB,0,0,5.98MB,
20180327,rda_finance.20180322_165515.log,success,59,0,0,0,0,0,375,0,375,0,0,0,3.011GB,0,3.011GB,0,0,0,
20180327,rda_it.20180322_165515.log,success,5,0,0,0,0,0,3,0,3,0,0,0,32.5,k,0,32.5,k,0,
20180327,rda_docs.20180322_165515.log,success,1377,0,0,0,0,0,13898,0,13898,0,0,0,18.622GB,0,18.622GB,0,0,0,
20180327,rda_data.20180322_165515.log,success,672,0,0,0,0,30,33155,0,33155,0,0,1,57.625GB,0,57.625GB,0,0,160,
20180327,rda_admin.20180322_165515.log,success,1071,0,0,0,0,0,3130,0,3130,0,0,0,1.108GB,0,1.108GB,0,0,0,
20180327,public.20180322_165515.log,success,16,0,0,0,0,101,349,3,346,0,0,379,429.41MB,52.2,k,429.36MB,0,0,
20180327,measurey.20180322_165515.log,success,443,0,0,0,0,1,5391,0,5391,0,0,2,17.277GB,0,17.277GB,0,0,53.6,
20180327,_surveys.20180322_165515.log,success,82,0,0,0,0,0,218,0,218,0,0,0,30.84MB,0,30.84MB,0,0,0,
20180327,archive.20180322_165515.log,success,5,0,0,0,0,0,1,0,1,0,0,0,74,0,74,0,0,0,
20180327,archivesecured.20180322_165515.log,success,2,0,0,0,0,0,1,0,1,0,0,0,74,0,74,0,0,0,
20180327,ds2bk_filecopy.20180321_180933.log,success,73141,35,0,0,0,2220,756300,2934,753366,0,0,10641,730.034GB,834.12MB,729.220GB,0,0,21.766GB,
20180327,rda_shared2shared_filecopy.20180321_180933.log,success,43250,35,0,0,0,2243,341665,2890,338775,0,0,61644,295.701GB,831.98MB,294.889GB,0,0,39.043GB,
20180327,rda_monthly_billable_hours.20180321_180933.log,success,154,0,0,0,0,0,1906,0,1906,0,0,0,1.443GB,0,1.443GB,0,0,0,
20180327,rda_management.20180321_180933.log,success,372,0,0,0,0,36,2549,4,2545,0,0,329,1.234GB,89.8,k,1.234GB,0,0,
20180327,rda_docs.20180321_180933.log,success,1377,0,0,0,0,0,13898,0,13898,0,0,0,18.622GB,0,18.622GB,0,0,0,
20180327,rda_finance.20180321_180933.log,success,59,0,0,0,0,0,375,0,375,0,0,0,3.011GB,0,3.011GB,0,0,0,
